year,South Africa,synthetic_South Africa
2007,10.226,10.22586555
2008,9.178,9.17789345
2009,8.684,8.6839583
2010,10.309,9.48670825
2011,10.706,10.77484215
2012,11.202,11.9854081
2013,10.468,11.46724095
