year,Germany,synthetic_Germany
2003,30.104,30.104079018
2004,36.39,36.39009559
2005,40.531,40.53110769
2006,45.538,44.623236868
2007,49.332,49.914695468
2008,53.397,46.385243364
2009,47.462,37.624901098
