year,Japan,synthetic_Japan
1999,5.715,5.714986295
2000,5.97,5.969986335
2001,5.75,5.749987935
2002,6.069,5.839118695
2003,11.475,5.615044735
2004,14.343,7.595334255
2005,15.554,8.227110655
