year,France,synthetic_France
1995,31.295,31.2943248
1996,32.088,32.0873257
1997,27.402,27.4013618
1998,29.49,32.0727244
1999,37.77,30.5600683
2000,38.534,28.3897612
2001,38.385,31.2850248
